"Группа";"Дата";"День";"Пара";"Занятия"
"СП-Пф-1606п";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ЭОЭ-Пф-151";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"основы безопасности и защиты Родины — вся группа, Потапова Регина Александровна, Лесная"
"ЭОЭ-Пф-151";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"математика — вся группа, Домарева Ирина Вячеславовна, Лесная"
"ЭОЭ-Пф-151";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"математика — вся группа, Домарева Ирина Вячеславовна, Лесная"
"ЭОЭ-Пф-151";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"-"
"ЭОЭ-Пф-151";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"-"
"ЭОЭ-Пф-151";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"ЭОЭ-Пф-151";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"ЭОЭ-Пф-151";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"иностранный язык — 1 п/г, Ермолина Ирина Павловна, Лесная"
"ЭОЭ-Пф-151";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"введение в специальность — вся группа, Костарева Наталья Викторовна, Лесная"
"ЭОЭ-Пф-151";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"иностранный язык — 2 п/г, Ермолина Ирина Павловна, Лесная"
"ЭОЭ-Пф-151";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"иностранный язык — 2 п/г, Ермолина Ирина Павловна, Лесная"
"ЭОЭ-Пф-151";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"ЭОЭ-Пф-151";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"ЭОЭ-Пф-151";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"ЭОЭ-Пф-151";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"-"
"ЭОЭ-Пф-151";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"информатика — 1 п/г, Комарова Яна Николаевна, Кривоусова"
"ЭОЭ-Пф-151";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"литература — вся группа, Кибардина Татьяна Леонидовна, Кривоусова"
"ЭОЭ-Пф-151";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"русский язык — вся группа, Кибардина Татьяна Леонидовна, Кривоусова"
"ЭОЭ-Пф-151";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"химия — вся группа, Соболева Любовь Анатольевна, Кривоусова"
"ЭОЭ-Пф-151";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"ЭОЭ-Пф-151";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"РУП-1301п";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"биология — вся группа, Никонова Антонина Олеговна, Кривоусова"
"РУП-1301п";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"техника бесконфликтного общения — вся группа, Рабенок Мария Александровна, Кривоусова"
"РУП-1301п";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"-"
"РУП-1301п";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"-"
"РУП-1301п";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"-"
"РУП-1301п";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"РУП-1301п";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"РУП-1301п";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"-"
"РУП-1301п";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"-"
"РУП-1301п";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"-"
"РУП-1301п";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"математика — вся группа, Нифонтова Ирина Геннадьевна, Лесная"
"РУП-1301п";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"история — вся группа, Вагайская Татьяна Александровна, Лесная"
"РУП-1301п";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"математика — вся группа, Нифонтова Ирина Геннадьевна, Лесная"
"РУП-1301п";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"РУП-1301п";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"информатика — 2 п/г, Галузин Антон Илюсович, Лесная"
"РУП-1301п";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"математика — вся группа, Нифонтова Ирина Геннадьевна, Лесная"
"РУП-1301п";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"информатика — вся группа, Галузин Антон Илюсович, Лесная"
"РУП-1301п";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"математика — вся группа, Нифонтова Ирина Геннадьевна, Лесная"
"РУП-1301п";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"информатика — 1 п/г, Галузин Антон Илюсович, Лесная"
"РУП-1301п";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"РУП-1301п";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ПКД-1809";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"-"
